Date,Florida
2004-06-01,13.200803212851406
2004-07-01,13.30642060745867
2004-08-01,13.56731475397163
2004-09-01,11.363445906310233
2004-10-01,13.37148195725797
2004-11-01,17.40988909426987
2004-12-01,16.857081267514552
2005-01-01,10.420787014935552
2005-02-01,7.149289920332526
2005-03-01,13.116102499209111
2005-04-01,12.171447631754504
2005-05-01,8.561183325862842
2005-06-01,8.791286763401567
2005-07-01,8.618642054901429
2005-08-01,7.481025152309316
2005-09-01,5.308902099480774
2005-10-01,5.9813212470814445
2005-11-01,3.981763914854538
2005-12-01,0.7040521429010638
2006-01-01,-0.4416033598912976
2006-02-01,-1.787676989720049
2006-03-01,-1.7731289853451169
2006-04-01,-0.3062832674180023
2006-05-01,-1.460966778885854
2006-06-01,-2.5957932496331324
2006-07-01,-3.4425666177251566
2006-08-01,-3.138161436397606
2006-09-01,-0.16435028046732644
2006-10-01,-3.1523359035832312
2006-11-01,-3.8355991546541337
2006-12-01,1.8317814074187149
2007-01-01,6.234684698656906
2007-02-01,5.677890787005036
2007-03-01,6.3265189909458455
2007-04-01,5.31826045457257
2007-05-01,7.258428414877844
2007-06-01,7.0072650574173885
2007-07-01,6.842667184315249
2007-08-01,6.561396626127894
2007-09-01,3.9079554808002
2007-10-01,3.6396480781453855
2007-11-01,5.274379243612031
2007-12-01,3.4267725978114227
2008-01-01,-0.9985693012934684
2008-02-01,3.2236965053261075
2008-03-01,1.6977292202227934
2008-04-01,-0.6570562746042086
2008-05-01,-0.19532423823547088
2008-06-01,0.10950503723171265
2008-07-01,-0.5904796511627907
2008-08-01,-2.199723884031293
2008-09-01,-8.338212502152574
2008-10-01,-8.30509021658436
2008-11-01,-6.530612244897959
2008-12-01,-7.154037915241464
2009-01-01,-7.541215678178547
2009-02-01,-10.563954014664615
2009-03-01,-8.202117015114013
2009-04-01,-6.653932776463209
2009-05-01,-8.117303465510494
2009-06-01,-8.616432790574116
2009-07-01,-7.012092966584422
2009-08-01,-6.935817805383023
2009-09-01,-3.8776583752912
2009-10-01,-1.7811883976344693
2009-11-01,-3.0967698923297444
2009-12-01,-0.4152357165157665
2010-01-01,0.7017543859649122
2010-02-01,0.9244264507422403
2010-03-01,0.0430255571809655
2010-04-01,0.4978163271538955
2010-05-01,4.397548907166497
2010-06-01,6.104651162790697
2010-07-01,3.911291643463164
2010-08-01,3.3302996595543872
2010-09-01,6.7469314361660535
2010-10-01,4.738011612070819
2010-11-01,6.7629858961128315
2010-12-01,6.699689625983635
2011-01-01,5.666772252138106
2011-02-01,3.844353814267567
2011-03-01,6.023854578817592
2011-04-01,5.825685285358293
2011-05-01,0.4206032832166735
2011-06-01,-0.2965350523771152
2011-07-01,2.0837930708363546
2011-08-01,0.848148752242701
2011-09-01,-0.3149260290024901
2011-10-01,0.4140432521215439
2011-11-01,-2.9675215878334837
2011-12-01,-3.25850619968267
2012-01-01,-3.4893132288138133
2012-02-01,0.9657481328869431
2012-03-01,-2.955731631466508
2012-04-01,-5.843838842144559
2012-05-01,-2.581814771981371
2012-06-01,-1.6713542171790645
2012-07-01,-2.7237354085603114
2012-08-01,-4.108038169173541
2012-09-01,-4.819631180662699
2012-10-01,-4.505026409950587
2012-11-01,-2.07205711439482
2012-12-01,-2.7729688686408505
2013-01-01,-2.248796396956049
2013-02-01,-4.450962887386813
2013-03-01,1.418380426907429
2013-04-01,0.9515676467000121
2013-05-01,0.25347322488529533
2013-06-01,-0.6706996317727512
2013-07-01,-1.2571428571428571
2013-08-01,-1.3324337999662674
2013-09-01,-2.342724816673099
2013-10-01,0.039253470363629875
2013-11-01,-0.7324268420874165
2013-12-01,0.5685367987004873
2014-01-01,-0.5052270344126338
2014-02-01,-1.7051521623064603
2014-03-01,-2.0332463250446486
2014-04-01,-3.4864048338368576
2014-05-01,-2.240286756704858
2014-06-01,-5.097312326227989
2014-07-01,-5.533050411522634
2014-08-01,-5.039316239316239
2014-09-01,-2.0629964826305183
2014-10-01,-3.856031961189984
2014-11-01,-3.053800170794193
2014-12-01,-3.1216996955954524
2015-01-01,1.4052120592743995
