Date,Florida,Tampa,Orlando,Phoenix
2004-06-01,13.200803212851406,5.6471023884465845,15.990547459629775,-0.31410622501427754
2004-07-01,13.30642060745867,4.827217670110438,15.524545228008972,-1.5405968077723802
2004-08-01,13.56731475397163,6.888404216648492,17.1256885327992,-0.4597060667270321
2004-09-01,11.363445906310233,3.500673206385843,16.620033575825406,0.7172131147540983
2004-10-01,13.37148195725797,5.69882777276826,19.210122699386503,1.3749561557348298
2004-11-01,17.40988909426987,21.984507561785318,25.03556187766714,2.6585168274541573
2004-12-01,16.857081267514552,21.549930651872398,24.883148831488313,3.176395849509423
2005-01-01,10.420787014935552,20.389185465817118,19.6684693157771,1.296244394618834
2005-02-01,7.149289920332526,12.585331699632418,11.477572559366754,-3.061822443598008
2005-03-01,13.116102499209111,19.344,16.007450421825354,0.645819170632223
2005-04-01,12.171447631754504,21.125319693094628,12.241706690494807,1.1049723756906076
2005-05-01,8.561183325862842,12.900462566386842,9.076594308851647,4.281409852147712
2005-06-01,8.791286763401567,12.635821941815633,8.851160158460667,4.167860211973647
2005-07-01,8.618642054901429,13.899745114698387,10.030198446937016,4.6518184381167185
2005-08-01,7.481025152309316,12.548886243836083,6.883283454467722,4.898187670561891
2005-09-01,5.308902099480774,10.258316298085859,6.09404990403071,3.262607179189071
2005-10-01,5.9813212470814445,8.548029346527898,5.221400235874343,2.4427375268147533
2005-11-01,3.981763914854538,-4.974296945872392,3.8059778674113143,3.637015781922525
2005-12-01,0.7040521429010638,-5.676793610041363,2.639613907219541,2.6339194089074365
2006-01-01,-0.4416033598912976,-9.126019167501074,-0.8252284114353079,25.9597426852044
2006-02-01,-1.787676989720049,-6.685323383084577,0.8391608391608392,23.348949675079343
2006-03-01,-1.7731289853451169,-7.413862448049337,1.6717038156403476,25.005065856129686
2006-04-01,-0.3062832674180023,-7.587274774774774,4.497959996019504,23.203026481715007
2006-05-01,-1.460966778885854,-6.752655538694992,4.650443390389771,21.85190162612552
2006-06-01,-2.5957932496331324,-7.406254862299673,1.6533222418633668,22.844768321187956
2006-07-01,-3.4425666177251566,-7.757720423690885,-0.20584199176632034,23.96955818965517
2006-08-01,-3.138161436397606,-5.997884876869618,-0.32,23.340671069308254
2006-09-01,-0.16435028046732644,-1.7191977077363898,1.2663952962460425,23.263668988811485
2006-10-01,-3.1523359035832312,-2.0748192392329456,-2.221316486651722,23.42610105376925
2006-11-01,-3.8355991546541337,2.863961813842482,-5.5096144266215,21.2985394891673
2006-12-01,1.8317814074187149,7.364282473915015,-3.3490068131657234,21.617117717637647
2007-01-01,6.234684698656906,8.972139146859751,1.8226844972758793,-0.15925315760571115
2007-02-01,5.677890787005036,6.647784071976008,3.2540275258721865,0.5329576084293065
2007-03-01,6.3265189909458455,8.934260063712713,4.412447747329308,0.18911763116658561
2007-04-01,5.31826045457257,7.53998476770754,4.437672602609275,1.0519731604685545
2007-05-01,7.258428414877844,8.673718470301058,8.710217755443885,-0.9595235469284218
2007-06-01,7.0072650574173885,7.30969584943707,12.152209492635023,-3.615199507527002
2007-07-01,6.842667184315249,5.984150088953583,13.417149592377958,-3.0586190036399197
2007-08-01,6.561396626127894,4.934104789456766,14.636837881219902,-3.2774472687939427
2007-09-01,3.9079554808002,2.6582061395986964,10.741402411790977,-3.613632471313581
2007-10-01,3.6396480781453855,1.8138041733547352,10.379324718632764,-3.289185639229422
2007-11-01,5.274379243612031,0.9126063418406806,13.000843525938421,-2.5793197900022826
2007-12-01,3.4267725978114227,-2.9154929577464785,13.592136616362192,-3.233762674705399
2008-01-01,-0.9985693012934684,-2.7011411237902645,7.627201089600155,-2.6841207854353444
2008-02-01,3.2236965053261075,2.9370410873301047,10.611696631535441,1.1211991956614467
2008-03-01,1.6977292202227934,1.7679117373388276,8.06049822064057,-3.6565634775105167
2008-04-01,-0.6570562746042086,-0.141643059490085,5.160937357527127,-2.959878453660458
2008-05-01,-0.19532423823547088,0.7038035339922133,5.9548626846732535,-2.978841870824054
2008-06-01,0.10950503723171265,2.4115252113999373,3.210507114191901,-1.3121988039249841
2008-07-01,-0.5904796511627907,2.441629787883412,0.26846800034641033,-2.544272584622282
2008-08-01,-2.199723884031293,-1.133404809312299,-2.4503369213266826,-6.301722209796466
2008-09-01,-8.338212502152574,-8.018710324089543,-7.612421859245816,-10.163468372423596
2008-10-01,-8.30509021658436,-7.189027274160492,-8.08157099697885,-11.482089298851225
2008-11-01,-6.530612244897959,-8.307786633966892,-5.495941028272838,-12.125117150890347
2008-12-01,-7.154037915241464,-8.138691426084433,-6.878769338344551,-11.424525630133108
2009-01-01,-7.541215678178547,-11.445961995249407,-6.779354605441562,-12.349516758039902
2009-02-01,-10.563954014664615,-14.584914251024433,-10.014012143858011,-14.661042482675505
2009-03-01,-8.202117015114013,-12.055903866248693,-6.627696360941873,-9.264442454097626
2009-04-01,-6.653932776463209,-10.595744680851064,-6.442382727824504,-10.002899391127864
2009-05-01,-8.117303465510494,-10.706319702602231,-10.196749358426004,-9.807747489239599
2009-06-01,-8.616432790574116,-13.149847094801222,-9.21703782255214,-9.248690945460963
2009-07-01,-7.012092966584422,-13.07910025323998,-8.023838314043877,-8.113858539390455
2009-08-01,-6.935817805383023,-12.672347017815646,-8.181573517538352,-6.492808975353584
2009-09-01,-3.8776583752912,-10.788231020704686,-5.9260067663429,-4.423786919831223
2009-10-01,-1.7811883976344693,-8.900968235094275,-3.420295809367296,-3.2924178493798752
2009-11-01,-3.0967698923297444,-8.910063523905048,-5.154028436018957,-2.0663911478469537
2009-12-01,-0.4152357165157665,-6.143398610233733,-2.778299230336024,-0.13428827215756492
2010-01-01,0.7017543859649122,-3.956412405699916,-2.4338213904780375,-1.4250709311323189
2010-02-01,0.9244264507422403,-3.731343283582089,-1.9723865877712032,-1.3133738172574496
2010-03-01,0.0430255571809655,-3.8467250854002675,-2.1955735825764924,-2.8811154296995496
2010-04-01,0.4978163271538955,-2.0625099159130573,-2.242817423540315,-3.260309278350516
2010-05-01,4.397548907166497,-1.0324729392173189,-0.2571918460659173,-1.8897938406719266
2010-06-01,6.104651162790697,-0.42253521126760557,2.0831305363574417,-2.6774716369529985
2010-07-01,3.911291643463164,-0.4113110539845758,2.9580242276270075,-3.5045997872207275
2010-08-01,3.3302996595543872,-1.3837147418839808,1.358085002442599,-2.5847214244686962
2010-09-01,6.7469314361660535,1.3232899022801303,2.3665893271461718,0.4690625646685521
2010-10-01,4.738011612070819,-0.5593884020137982,1.690949696905243,0.978383023732399
2010-11-01,6.7629858961128315,2.844558634611855,2.9252550489277533,0.7350939286686632
2010-12-01,6.699689625983635,2.4061921588423356,2.384630237497586,-0.377793430236281
2011-01-01,5.666772252138106,1.3789492057950776,3.657324587557146,1.386799241185321
2011-02-01,3.844353814267567,-0.46142488002953125,1.9591231600127077,1.4882655981682884
2011-03-01,6.023854578817592,1.7145505097312326,4.102055535521097,6.466776775505019
2011-04-01,5.825685285358293,1.1825692531994167,5.536594615092909,7.066737711469296
2011-05-01,0.4206032832166735,-3.4662628302204275,1.0982714162926177,5.7656138530384595
2011-06-01,-0.2965350523771152,0.7248939179632249,1.029846476590064,6.861177724487078
2011-07-01,2.0837930708363546,1.7036654620547238,2.4990879241152864,6.71898307283222
2011-08-01,0.848148752242701,1.5110631408526713,1.3880855986119145,5.562106918238994
2011-09-01,-0.3149260290024901,1.5069318866787222,0.8046237533998187,1.7301750772399587
2011-10-01,0.4140432521215439,2.400150009375586,0.9412256850031374,1.237315875613748
2011-11-01,-2.9675215878334837,-1.1955745895788723,-2.215029837159907,0.6891891891891891
2011-12-01,-3.25850619968267,-1.7088399605652318,-1.914191419141914,0.5270600334233192
2012-01-01,-3.4893132288138133,-2.462121212121212,-3.7583892617449663,-0.8323117620491643
2012-02-01,0.9657481328869431,2.6515853884665304,2.077274615704196,3.0315848843767625
