Time,Employment,MSA,yoy_growth
1991-01-01,36867.365167170894,"Anaheim-Santa Ana-Irvine, CA (MD)",0.036493606844732795
1991-02-01,36964.180925205605,"Anaheim-Santa Ana-Irvine, CA (MD)",0.04781341054238042
1991-03-01,36893.4743030313,"Anaheim-Santa Ana-Irvine, CA (MD)",0.03936978275101333
1991-04-01,37451.8014861362,"Anaheim-Santa Ana-Irvine, CA (MD)",0.05949632273125838
1991-05-01,37740.101310846796,"Anaheim-Santa Ana-Irvine, CA (MD)",0.08954657493730656
1991-06-01,37426.0485814865,"Anaheim-Santa Ana-Irvine, CA (MD)",0.05305348202146165
1991-07-01,36695.2943128026,"Anaheim-Santa Ana-Irvine, CA (MD)",0.02271574631341866
1991-08-01,36435.61515883361,"Anaheim-Santa Ana-Irvine, CA (MD)",0.01732603143135525
1991-09-01,36822.84605516521,"Anaheim-Santa Ana-Irvine, CA (MD)",0.030832964446401157
1991-10-01,37412.5467012744,"Anaheim-Santa Ana-Irvine, CA (MD)",0.04457512581439982
1991-11-01,37300.7521815204,"Anaheim-Santa Ana-Irvine, CA (MD)",0.03928793348160342
1991-12-01,36896.989916215505,"Anaheim-Santa Ana-Irvine, CA (MD)",0.03315450240684714
1992-01-01,36576.7980037215,"Anaheim-Santa Ana-Irvine, CA (MD)",-0.007881419302188997
1992-02-01,36528.7174851731,"Anaheim-Santa Ana-Irvine, CA (MD)",-0.011780686846913468
1992-03-01,36590.498604680906,"Anaheim-Santa Ana-Irvine, CA (MD)",-0.008212175840687785
1992-04-01,36545.4630680261,"Anaheim-Santa Ana-Irvine, CA (MD)",-0.02420012875603872
1992-05-01,36648.8574964959,"Anaheim-Santa Ana-Irvine, CA (MD)",-0.028914702834601735
1992-06-01,36701.1545903129,"Anaheim-Santa Ana-Irvine, CA (MD)",-0.019368702244783154
1992-07-01,37334.4456489223,"Anaheim-Santa Ana-Irvine, CA (MD)",0.0174178010583963
1992-08-01,37482.4297987179,"Anaheim-Santa Ana-Irvine, CA (MD)",0.028730532895380634
1992-09-01,37715.8883661679,"Anaheim-Santa Ana-Irvine, CA (MD)",0.02425239780936006
1992-10-01,37614.507689117105,"Anaheim-Santa Ana-Irvine, CA (MD)",0.005398215455774569
1992-11-01,37409.4267799659,"Anaheim-Santa Ana-Irvine, CA (MD)",0.002913469356238263
1992-12-01,37265.1065871735,"Anaheim-Santa Ana-Irvine, CA (MD)",0.009976875398071794
1993-01-01,36979.2389270606,"Anaheim-Santa Ana-Irvine, CA (MD)",0.011002628587066354
1993-02-01,36996.9254333444,"Anaheim-Santa Ana-Irvine, CA (MD)",0.012817530436466607
1993-03-01,36858.6514104429,"Anaheim-Santa Ana-Irvine, CA (MD)",0.00732848187337054
1993-04-01,36432.5885441784,"Anaheim-Santa Ana-Irvine, CA (MD)",-0.0030886056536648665
1993-05-01,36568.2555206371,"Anaheim-Santa Ana-Irvine, CA (MD)",-0.002199303917359452
1993-06-01,36377.0608340357,"Anaheim-Santa Ana-Irvine, CA (MD)",-0.008830614728473574
1993-07-01,36480.832678794104,"Anaheim-Santa Ana-Irvine, CA (MD)",-0.02286395191601931
1993-08-01,36553.565972888995,"Anaheim-Santa Ana-Irvine, CA (MD)",-0.024781313026315033
1993-09-01,36417.7869390377,"Anaheim-Santa Ana-Irvine, CA (MD)",-0.034417893449239956
1993-10-01,36423.406017239104,"Anaheim-Santa Ana-Irvine, CA (MD)",-0.03166601784934753
1993-11-01,36729.5439471477,"Anaheim-Santa Ana-Irvine, CA (MD)",-0.01817410453298629
1993-12-01,36820.0382913754,"Anaheim-Santa Ana-Irvine, CA (MD)",-0.011943298612522635
1994-01-01,37476.6165580057,"Anaheim-Santa Ana-Irvine, CA (MD)",0.013450185708963502
1994-02-01,37537.3761429974,"Anaheim-Santa Ana-Irvine, CA (MD)",0.01460798980787481
1994-03-01,37602.283478002,"Anaheim-Santa Ana-Irvine, CA (MD)",0.020175238081239444
1994-04-01,38119.9289187842,"Anaheim-Santa Ana-Irvine, CA (MD)",0.046314040314750615
1994-05-01,38183.817439155704,"Anaheim-Santa Ana-Irvine, CA (MD)",0.044179354347567035
1994-06-01,38363.241059793,"Anaheim-Santa Ana-Irvine, CA (MD)",0.054599799440062435
1994-07-01,38144.4104046669,"Anaheim-Santa Ana-Irvine, CA (MD)",0.04560141870993584
1994-08-01,38036.837115050395,"Anaheim-Santa Ana-Irvine, CA (MD)",0.040578014830660036
1994-09-01,38141.7603268195,"Anaheim-Santa Ana-Irvine, CA (MD)",0.04733877406300602
1994-10-01,38352.3279826595,"Anaheim-Santa Ana-Irvine, CA (MD)",0.052958308306132684
1994-11-01,38125.509889077104,"Anaheim-Santa Ana-Irvine, CA (MD)",0.03800662333129279
1994-12-01,38398.04549367921,"Anaheim-Santa Ana-Irvine, CA (MD)",0.042857293895683934
1995-01-01,38036.086012910106,"Anaheim-Santa Ana-Irvine, CA (MD)",0.014928494252902214
1995-02-01,38063.697441264405,"Anaheim-Santa Ana-Irvine, CA (MD)",0.014021259670947916
1995-03-01,38008.17271559379,"Anaheim-Santa Ana-Irvine, CA (MD)",0.010794270987006582
1995-04-01,38220.3443473526,"Anaheim-Santa Ana-Irvine, CA (MD)",0.002634197686526063
1995-05-01,38115.01707754921,"Anaheim-Santa Ana-Irvine, CA (MD)",-0.001801819886556033
1995-06-01,38562.2886906714,"Anaheim-Santa Ana-Irvine, CA (MD)",0.0051884988176094105
1995-07-01,39200.60268201529,"Anaheim-Santa Ana-Irvine, CA (MD)",0.02768930666756786
1995-08-01,39031.6050647382,"Anaheim-Santa Ana-Irvine, CA (MD)",0.02615275152029395
1995-09-01,39384.3275695884,"Anaheim-Santa Ana-Irvine, CA (MD)",0.0325776060706664
1995-10-01,38979.8059087381,"Anaheim-Santa Ana-Irvine, CA (MD)",0.01636088235275568
1995-11-01,39316.119222954796,"Anaheim-Santa Ana-Irvine, CA (MD)",0.03122867962531295
1995-12-01,39672.7595739936,"Anaheim-Santa Ana-Irvine, CA (MD)",0.03319736887452329
1996-01-01,39301.238553192205,"Anaheim-Santa Ana-Irvine, CA (MD)",0.03326190133897278
1996-02-01,39063.3370585346,"Anaheim-Santa Ana-Irvine, CA (MD)",0.026262283605336112
1996-03-01,39214.8815078289,"Anaheim-Santa Ana-Irvine, CA (MD)",0.03174866630039341
1996-04-01,39221.0405108429,"Anaheim-Santa Ana-Irvine, CA (MD)",0.026182290625008875
1996-05-01,39546.1752491076,"Anaheim-Santa Ana-Irvine, CA (MD)",0.03754840693489769
1996-06-01,39199.951107425004,"Anaheim-Santa Ana-Irvine, CA (MD)",0.016535906928881516
1996-07-01,38850.7106106926,"Anaheim-Santa Ana-Irvine, CA (MD)",-0.008925680917737933
1996-08-01,39009.1630701344,"Anaheim-Santa Ana-Irvine, CA (MD)",-0.0005749698114280166
1996-09-01,38917.6565968989,"Anaheim-Santa Ana-Irvine, CA (MD)",-0.011849154257234318
1996-10-01,38997.1078164666,"Anaheim-Santa Ana-Irvine, CA (MD)",0.00044386849357369584
1996-11-01,39172.2878442088,"Anaheim-Santa Ana-Irvine, CA (MD)",-0.003658331025256034
1996-12-01,39492.0593958881,"Anaheim-Santa Ana-Irvine, CA (MD)",-0.004554767050385711
1997-01-01,39566.630814317796,"Anaheim-Santa Ana-Irvine, CA (MD)",0.0067527709277253045
1997-02-01,39873.148235993096,"Anaheim-Santa Ana-Irvine, CA (MD)",0.020730721910548366
1997-03-01,40016.9586582694,"Anaheim-Santa Ana-Irvine, CA (MD)",0.02045338707144584
1997-04-01,40342.7346510518,"Anaheim-Santa Ana-Irvine, CA (MD)",0.02859929582691212
1997-05-01,40587.37772274571,"Anaheim-Santa Ana-Irvine, CA (MD)",0.02632877812024592
1997-06-01,40573.7556204927,"Anaheim-Santa Ana-Irvine, CA (MD)",0.03504607720817998
1997-07-01,40652.00920043221,"Anaheim-Santa Ana-Irvine, CA (MD)",0.04636462400365593
1997-08-01,40738.75169038479,"Anaheim-Santa Ana-Irvine, CA (MD)",0.044338008922180094
1997-09-01,40839.576671937204,"Anaheim-Santa Ana-Irvine, CA (MD)",0.049384270356901405
1997-10-01,41004.06465864771,"Anaheim-Santa Ana-Irvine, CA (MD)",0.05146424836494323
1997-11-01,41231.0418000625,"Anaheim-Santa Ana-Irvine, CA (MD)",0.05255638792509454
1997-12-01,41139.2412742836,"Anaheim-Santa Ana-Irvine, CA (MD)",0.0417091917613952
1998-01-01,41647.386118205,"Anaheim-Santa Ana-Irvine, CA (MD)",0.052588639999498143
1998-02-01,41504.250238330795,"Anaheim-Santa Ana-Irvine, CA (MD)",0.04090727907121505
1998-03-01,41460.472852835,"Anaheim-Santa Ana-Irvine, CA (MD)",0.03607256130813674
1998-04-01,40856.7905210724,"Anaheim-Santa Ana-Irvine, CA (MD)",0.012742216770057269
1998-05-01,40902.0370474045,"Anaheim-Santa Ana-Irvine, CA (MD)",0.0077526399169771665
1998-06-01,41171.3482551235,"Anaheim-Santa Ana-Irvine, CA (MD)",0.014728551140801294
1998-07-01,41117.243125348505,"Anaheim-Santa Ana-Irvine, CA (MD)",0.011444303346053397
1998-08-01,41123.3302503413,"Anaheim-Santa Ana-Irvine, CA (MD)",0.00944011644930387
1998-09-01,41449.320030741794,"Anaheim-Santa Ana-Irvine, CA (MD)",0.014930207619501923
1998-10-01,41699.1138518425,"Anaheim-Santa Ana-Irvine, CA (MD)",0.016950738883595218
1998-11-01,42091.1003685839,"Anaheim-Santa Ana-Irvine, CA (MD)",0.020859491562012833
1998-12-01,42636.4693957093,"Anaheim-Santa Ana-Irvine, CA (MD)",0.03639415981066274
1999-01-01,43921.648069827905,"Anaheim-Santa Ana-Irvine, CA (MD)",0.05460755556586472
1999-02-01,44367.6065498534,"Anaheim-Santa Ana-Irvine, CA (MD)",0.06898947204395434
1999-03-01,44637.7588068225,"Anaheim-Santa Ana-Irvine, CA (MD)",0.0766340983438698
1999-04-01,43381.5563745618,"Anaheim-Santa Ana-Irvine, CA (MD)",0.06179550134235878
1999-05-01,43502.12169988229,"Anaheim-Santa Ana-Irvine, CA (MD)",0.06356858582530633
1999-06-01,43419.7417479442,"Anaheim-Santa Ana-Irvine, CA (MD)",0.054610635505260685
1999-07-01,43666.572265551105,"Anaheim-Santa Ana-Irvine, CA (MD)",0.062001460857451285
1999-08-01,43888.942389162294,"Anaheim-Santa Ana-Irvine, CA (MD)",0.0672516579271456
1999-09-01,44269.080398062106,"Anaheim-Santa Ana-Irvine, CA (MD)",0.0680291103745243
1999-10-01,44378.7961832385,"Anaheim-Santa Ana-Irvine, CA (MD)",0.06426233279001914
1999-11-01,44290.723554456206,"Anaheim-Santa Ana-Irvine, CA (MD)",0.05225862870323206
1999-12-01,43996.3877654953,"Anaheim-Santa Ana-Irvine, CA (MD)",0.03189566089923157
2000-01-01,43619.520059292605,"Anaheim-Santa Ana-Irvine, CA (MD)",-0.006878794940822108
2000-02-01,44272.5696990139,"Anaheim-Santa Ana-Irvine, CA (MD)",-0.002142032402237315
2000-03-01,44750.174583176005,"Anaheim-Santa Ana-Irvine, CA (MD)",0.0025184009985805833
2000-04-01,44381.478185846296,"Anaheim-Santa Ana-Irvine, CA (MD)",0.023049468365105463
2000-05-01,44481.096346596205,"Anaheim-Santa Ana-Irvine, CA (MD)",0.022504066662949906
2000-06-01,44733.824064363704,"Anaheim-Santa Ana-Irvine, CA (MD)",0.030264627644445152
2000-07-01,45615.001188512106,"Anaheim-Santa Ana-Irvine, CA (MD)",0.044620606149526676
2000-08-01,45863.535004047895,"Anaheim-Santa Ana-Irvine, CA (MD)",0.044990662964191186
2000-09-01,46598.8666865207,"Anaheim-Santa Ana-Irvine, CA (MD)",0.05262784470581816
2000-10-01,45850.5341300778,"Anaheim-Santa Ana-Irvine, CA (MD)",0.033163088533599394
2000-11-01,45399.9730150245,"Anaheim-Santa Ana-Irvine, CA (MD)",0.02504473559129039
2000-12-01,46328.49246395851,"Anaheim-Santa Ana-Irvine, CA (MD)",0.05300673116378407
2001-01-01,47027.1369415922,"Anaheim-Santa Ana-Irvine, CA (MD)",0.07812137496395133
2001-02-01,47099.0701215971,"Anaheim-Santa Ana-Irvine, CA (MD)",0.06384315258407414
2001-03-01,47267.8013534838,"Anaheim-Santa Ana-Irvine, CA (MD)",0.056259596610698015
2001-04-01,47895.7251239295,"Anaheim-Santa Ana-Irvine, CA (MD)",0.07918273752323857
2001-05-01,47852.88038940851,"Anaheim-Santa Ana-Irvine, CA (MD)",0.07580262897612511
2001-06-01,47704.3245189901,"Anaheim-Santa Ana-Irvine, CA (MD)",0.06640390167298005
2001-07-01,47772.7418512198,"Anaheim-Santa Ana-Irvine, CA (MD)",0.04730331264906562
2001-08-01,47941.262156297795,"Anaheim-Santa Ana-Irvine, CA (MD)",0.04530237697697137
2001-09-01,48055.1165329864,"Anaheim-Santa Ana-Irvine, CA (MD)",0.03125075672466826
2001-10-01,48032.7297839336,"Anaheim-Santa Ana-Irvine, CA (MD)",0.047593680101194025
2001-11-01,48122.217838816796,"Anaheim-Santa Ana-Irvine, CA (MD)",0.059961375371113235
2001-12-01,48090.1056142844,"Anaheim-Santa Ana-Irvine, CA (MD)",0.03802440046363165
2002-01-01,48349.2197978804,"Anaheim-Santa Ana-Irvine, CA (MD)",0.02811319043152105
2002-02-01,48552.480028165795,"Anaheim-Santa Ana-Irvine, CA (MD)",0.03085856902941786
2002-03-01,48703.9422965207,"Anaheim-Santa Ana-Irvine, CA (MD)",0.030383070545147106
2002-04-01,48875.6026048621,"Anaheim-Santa Ana-Irvine, CA (MD)",0.020458558219907497
2002-05-01,49421.312048971995,"Anaheim-Santa Ana-Irvine, CA (MD)",0.03277611811034542
2002-06-01,49763.7008204607,"Anaheim-Santa Ana-Irvine, CA (MD)",0.043169593579525545
2002-07-01,49745.0968469764,"Anaheim-Santa Ana-Irvine, CA (MD)",0.041286200442485876
2002-08-01,50039.439253152195,"Anaheim-Santa Ana-Irvine, CA (MD)",0.04376557901237432
2002-09-01,50212.054395121,"Anaheim-Santa Ana-Irvine, CA (MD)",0.044884666144842544
2002-10-01,50622.877242218296,"Anaheim-Santa Ana-Irvine, CA (MD)",0.05392463576265594
2002-11-01,50640.5053666664,"Anaheim-Santa Ana-Irvine, CA (MD)",0.0523310778460897
2002-12-01,51015.465133554106,"Anaheim-Santa Ana-Irvine, CA (MD)",0.06083079839194139
2003-01-01,51282.7660666711,"Anaheim-Santa Ana-Irvine, CA (MD)",0.060674118032392865
2003-02-01,51501.4473815648,"Anaheim-Santa Ana-Irvine, CA (MD)",0.06073772857098714
2003-03-01,51840.139317281704,"Anaheim-Santa Ana-Irvine, CA (MD)",0.06439308345240558
2003-04-01,51764.3768430197,"Anaheim-Santa Ana-Irvine, CA (MD)",0.05910462652526416
2003-05-01,51905.794192885296,"Anaheim-Santa Ana-Irvine, CA (MD)",0.05027147278994559
2003-06-01,52212.42603060899,"Anaheim-Santa Ana-Irvine, CA (MD)",0.049207055941898226
2003-07-01,52327.962248994,"Anaheim-Santa Ana-Irvine, CA (MD)",0.051922009720131834
2003-08-01,52243.85130715079,"Anaheim-Santa Ana-Irvine, CA (MD)",0.044053492343236744
2003-09-01,52349.097825026096,"Anaheim-Santa Ana-Irvine, CA (MD)",0.042560366343280975
2003-10-01,52608.128639663395,"Anaheim-Santa Ana-Irvine, CA (MD)",0.0392164868058793
2003-11-01,52963.031862525706,"Anaheim-Santa Ana-Irvine, CA (MD)",0.045863019712044206
2003-12-01,53097.028821323605,"Anaheim-Santa Ana-Irvine, CA (MD)",0.04080260137431169
2004-01-01,53139.44951976789,"Anaheim-Santa Ana-Irvine, CA (MD)",0.036204822701704
2004-02-01,53283.6225909667,"Anaheim-Santa Ana-Irvine, CA (MD)",0.034604371333451844
2004-03-01,53493.05856998179,"Anaheim-Santa Ana-Irvine, CA (MD)",0.03188493075961052
2004-04-01,52824.422133688895,"Anaheim-Santa Ana-Irvine, CA (MD)",0.020478277829633296
2004-05-01,53005.0216651373,"Anaheim-Santa Ana-Irvine, CA (MD)",0.02117735581055169
2004-06-01,52883.8414232052,"Anaheim-Santa Ana-Irvine, CA (MD)",0.012859302730016786
2004-07-01,54407.9410105965,"Anaheim-Santa Ana-Irvine, CA (MD)",0.03974889661678893
2004-08-01,54530.723105114404,"Anaheim-Santa Ana-Irvine, CA (MD)",0.04377303243818487
2004-09-01,54645.8426742914,"Anaheim-Santa Ana-Irvine, CA (MD)",0.04387362809846396
2004-10-01,54887.345531838895,"Anaheim-Santa Ana-Irvine, CA (MD)",0.043324424401918415
2004-11-01,55264.906571778796,"Anaheim-Santa Ana-Irvine, CA (MD)",0.043461913495209004
2004-12-01,55197.10405179279,"Anaheim-Santa Ana-Irvine, CA (MD)",0.039551652457543884
2005-01-01,54711.41746825279,"Anaheim-Santa Ana-Irvine, CA (MD)",0.029581938892688786
2005-02-01,54979.905675988906,"Anaheim-Santa Ana-Irvine, CA (MD)",0.03183498047878186
2005-03-01,55270.0575755309,"Anaheim-Santa Ana-Irvine, CA (MD)",0.03321924475910021
2005-04-01,55692.029475589996,"Anaheim-Santa Ana-Irvine, CA (MD)",0.05428563581147583
2005-05-01,55714.90802610129,"Anaheim-Santa Ana-Irvine, CA (MD)",0.051125087318780515
2005-06-01,56071.912113596794,"Anaheim-Santa Ana-Irvine, CA (MD)",0.06028440076580144
2005-07-01,56376.63969707579,"Anaheim-Santa Ana-Irvine, CA (MD)",0.036184032145158085
2005-08-01,56480.41211584621,"Anaheim-Santa Ana-Irvine, CA (MD)",0.03575395482971211
